__time,/joint_states/LF_stering_arm_joint/effort,/joint_states/LF_stering_arm_joint/position,/joint_states/LF_stering_arm_joint/velocity,/joint_states/LF_wheel_joint/effort,/joint_states/LF_wheel_joint/position,/joint_states/LF_wheel_joint/velocity,/joint_states/LR_stering_arm_joint/effort,/joint_states/LR_stering_arm_joint/position,/joint_states/LR_stering_arm_joint/velocity,/joint_states/LR_wheel_joint/effort,/joint_states/LR_wheel_joint/position,/joint_states/LR_wheel_joint/velocity,/joint_states/Left_arm_joint/effort,/joint_states/Left_arm_joint/position,/joint_states/Left_arm_joint/velocity,/joint_states/RF_stering_arm_joint/effort,/joint_states/RF_stering_arm_joint/position,/joint_states/RF_stering_arm_joint/velocity,/joint_states/RF_wheel_joint/effort,/joint_states/RF_wheel_joint/position,/joint_states/RF_wheel_joint/velocity,/joint_states/RR_stering_arm_joint/effort,/joint_states/RR_stering_arm_joint/position,/joint_states/RR_stering_arm_joint/velocity,/joint_states/RR_wheel_joint/effort,/joint_states/RR_wheel_joint/position,/joint_states/RR_wheel_joint/velocity,/joint_states/Right_arm_joint/effort,/joint_states/Right_arm_joint/position,/joint_states/Right_arm_joint/velocity,/joint_states/base_footprint_joint/effort,/joint_states/base_footprint_joint/position,/joint_states/base_footprint_joint/velocity,/joint_states/header/stamp
1743536066.173514,-0.000000290,0.000000000,0.000000000,0.000000000,-2.694345843,0.355851850,-0.000000093,0.000000000,-0.000000000,-0.000000000,-0.900187270,0.279443272,0.000000000,0.000000000,0.000000000,-0.000000865,0.000000000,-0.000000000,-0.000000000,4.330645787,0.851183701,-0.000000063,0.000000000,-0.000000000,-0.000000000,4.752452922,0.395927812,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.360000000
1743536066.184206,-0.000000294,0.000000000,0.000000000,0.000000000,-2.690769897,0.359019887,-0.000000092,0.000000000,-0.000000000,-0.000000000,-0.897387155,0.280475151,0.000000000,0.000000000,0.000000000,-0.000000857,0.000000000,-0.000000000,-0.000000000,4.339139375,0.847865304,-0.000000061,0.000000000,-0.000000000,0.000000000,4.756397426,0.393242821,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.370000000
1743536066.194421,-0.000000297,0.000000000,0.000000000,-0.000000000,-2.687162291,0.362184100,-0.000000091,0.000000000,-0.000000000,-0.000000000,-0.894576770,0.281498114,0.000000000,0.000000000,0.000000000,-0.000000848,0.000000000,-0.000000000,0.000000000,4.347599763,0.844543780,-0.000000058,0.000000000,-0.000000000,-0.000000000,4.760315123,0.390565666,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.380000000
1743536066.204638,-0.000000301,0.000000000,0.000000000,-0.000000000,-2.683523065,0.365344415,-0.000000091,0.000000000,-0.000000000,-0.000000000,-0.891756204,0.282512122,0.000000000,0.000000000,0.000000000,-0.000000839,0.000000000,-0.000000000,0.000000000,4.356026918,0.841219378,-0.000000055,0.000000000,-0.000000000,-0.000000000,4.764206092,0.387896333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.390000000
1743536066.216125,-0.000000304,0.000000000,0.000000000,-0.000000000,-2.679852258,0.368500756,-0.000000090,0.000000000,-0.000000000,-0.000000000,-0.888925548,0.283517134,0.000000000,0.000000000,0.000000000,-0.000000831,0.000000000,-0.000000000,0.000000000,4.364420816,0.837892345,-0.000000053,0.000000000,-0.000000000,0.000000000,4.768070411,0.385234811,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.400000000
1743536066.226318,-0.000000307,0.000000000,0.000000000,-0.000000000,-2.676149910,0.371653046,-0.000000089,0.000000000,-0.000000000,-0.000000000,-0.886084891,0.284513111,0.000000000,0.000000000,0.000000000,-0.000000822,0.000000000,-0.000000000,0.000000000,4.372781429,0.834562926,-0.000000050,0.000000000,-0.000000000,-0.000000000,4.771908157,0.382581085,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.410000000
1743536066.236499,-0.000000311,0.000000000,0.000000000,-0.000000000,-2.672416061,0.374801206,-0.000000088,0.000000000,-0.000000000,-0.000000000,-0.883234325,0.285500011,0.000000000,0.000000000,0.000000000,-0.000000813,0.000000000,-0.000000000,0.000000000,4.381108736,0.831231362,-0.000000047,0.000000000,-0.000000000,-0.000000000,4.775719408,0.379935140,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.420000000
1743536066.246681,-0.000000314,0.000000000,0.000000000,-0.000000000,-2.668650754,0.377945158,-0.000000087,0.000000000,-0.000000000,-0.000000000,-0.880373939,0.286477797,0.000000000,0.000000000,0.000000000,-0.000000804,0.000000000,-0.000000000,0.000000000,4.389402717,0.827897893,-0.000000045,0.000000000,-0.000000000,-0.000000000,4.779504243,0.377296961,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.430000000
1743536066.256637,-0.000000317,0.000000000,0.000000000,-0.000000000,-2.664854030,0.381084822,-0.000000086,0.000000000,-0.000000000,-0.000000000,-0.877503826,0.287446428,0.000000000,0.000000000,0.000000000,-0.000000795,0.000000000,-0.000000000,0.000000000,4.397663354,0.824562755,-0.000000043,0.000000000,-0.000000000,-0.000000000,4.783262739,0.374666532,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.440000000
1743536066.266726,-0.000000321,0.000000000,0.000000000,-0.000000000,-2.661025934,0.384220116,-0.000000085,0.000000000,-0.000000000,-0.000000000,-0.874624077,0.288405866,0.000000000,0.000000000,0.000000000,-0.000000786,0.000000000,-0.000000000,0.000000000,4.405890632,0.821226182,-0.000000040,0.000000000,-0.000000000,0.000000000,4.786994973,0.372043836,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.449000000
