__time,/Sagan/SaganStates/steering_state[0]/angular_position,/Sagan/SaganStates/steering_state[1]/angular_position,/Sagan/SaganStates/steering_state[2]/angular_position,/Sagan/SaganStates/steering_state[3]/angular_position,/Sagan/SaganStates/wheel_state[0]/angular_velocity,/Sagan/SaganStates/wheel_state[1]/angular_velocity,/Sagan/SaganStates/wheel_state[2]/angular_velocity,/Sagan/SaganStates/wheel_state[3]/angular_velocity,/joint_states/LF_stering_arm_joint/effort,/joint_states/LF_stering_arm_joint/position,/joint_states/LF_stering_arm_joint/velocity,/joint_states/LF_wheel_joint/effort,/joint_states/LF_wheel_joint/position,/joint_states/LF_wheel_joint/velocity,/joint_states/LR_stering_arm_joint/effort,/joint_states/LR_stering_arm_joint/position,/joint_states/LR_stering_arm_joint/velocity,/joint_states/LR_wheel_joint/effort,/joint_states/LR_wheel_joint/position,/joint_states/LR_wheel_joint/velocity,/joint_states/Left_arm_joint/effort,/joint_states/Left_arm_joint/position,/joint_states/Left_arm_joint/velocity,/joint_states/RF_stering_arm_joint/effort,/joint_states/RF_stering_arm_joint/position,/joint_states/RF_stering_arm_joint/velocity,/joint_states/RF_wheel_joint/effort,/joint_states/RF_wheel_joint/position,/joint_states/RF_wheel_joint/velocity,/joint_states/RR_stering_arm_joint/effort,/joint_states/RR_stering_arm_joint/position,/joint_states/RR_stering_arm_joint/velocity,/joint_states/RR_wheel_joint/effort,/joint_states/RR_wheel_joint/position,/joint_states/RR_wheel_joint/velocity,/joint_states/Right_arm_joint/effort,/joint_states/Right_arm_joint/position,/joint_states/Right_arm_joint/velocity,/joint_states/base_footprint_joint/effort,/joint_states/base_footprint_joint/position,/joint_states/base_footprint_joint/velocity,/joint_states/header/stamp
1743632677.964592,,,,,,,,,-0.000000000,0.002866988,0.000417714,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002730382,-0.000397811,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000728524,0.000106242,-0.000101992,0.000000087,-0.000000000,0.000000000,0.006307003,0.000918050,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.780000000
1743632677.975278,0.000418019,0.000106320,-0.000398101,0.000918717,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632677.975368,,,,,,,,,-0.000000000,0.002871167,0.000418019,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002734362,-0.000398101,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000729587,0.000106320,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006316187,0.000918717,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.790000000
1743632677.985657,0.000418324,0.000106397,-0.000398391,0.000919384,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632677.985750,,,,,,,,,-0.000000000,0.002875349,0.000418324,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002738344,-0.000398391,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000730650,0.000106397,-0.000101992,0.000000087,0.000000000,0.000000000,0.006325378,0.000919384,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.800000000
1743632677.995976,0.000418628,0.000106475,-0.000398681,0.000920051,0.000000000,0.000000000,0.000000000,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632677.996075,,,,,,,,,-0.000000000,0.002879534,0.000418628,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002742330,-0.000398681,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000731715,0.000106475,-0.000101992,0.000000087,0.000000000,0.000000000,0.006334576,0.000920051,-0.000219972,0.000000187,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.810000000
1743632678.005888,0.000418933,0.000106553,-0.000398971,0.000920717,0.000000000,0.000000000,-0.000000000,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.005933,,,,,,,,,-0.000000000,0.002883722,0.000418933,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002746318,-0.000398971,0.000216570,-0.000000184,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000732780,0.000106553,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006343780,0.000920717,-0.000219972,0.000000187,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.820000000
1743632678.015961,0.000419237,0.000106631,-0.000399262,0.000921384,0.000000000,0.000000000,-0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.016056,,,,,,,,,-0.000000000,0.002887913,0.000419237,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002750309,-0.000399262,0.000216570,-0.000000184,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000733846,0.000106631,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006352991,0.000921384,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.830000000
1743632678.026126,0.000419542,0.000106708,-0.000399552,0.000922051,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.026240,,,,,,,,,-0.000000000,0.002892107,0.000419542,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002754304,-0.000399552,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000734913,0.000106708,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006362208,0.000922051,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.840000000
1743632678.036476,0.000419847,0.000106786,-0.000399842,0.000922718,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.036618,,,,,,,,,-0.000000000,0.002896304,0.000419847,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002758301,-0.000399842,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000735980,0.000106786,-0.000101992,0.000000087,0.000000000,0.000000000,0.006371432,0.000922718,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.850000000
1743632678.046812,0.000420151,0.000106864,-0.000400132,0.000923385,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.046946,,,,,,,,,0.000000000,0.002900504,0.000420151,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002762301,-0.000400132,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000737048,0.000106864,-0.000101992,0.000000087,0.000000000,0.000000000,0.006380663,0.000923385,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.860000000
1743632678.057349,0.000420456,0.000106942,-0.000400422,0.000924052,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.057501,,,,,,,,,-0.000000000,0.002904707,0.000420456,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002766304,-0.000400422,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000738117,0.000106942,-0.000101992,0.000000087,0.000000000,0.000000000,0.006389901,0.000924052,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.870000000
1743632678.068122,0.000420760,0.000107020,-0.000400712,0.000924719,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
